age,name,selling_price,km_driven,transmission,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,owner_encoded,fuel_CNG,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol
17,101315.78947368421,60000,70000,1,0,1,0,0.0,0,0,0,0,1
17,142800.0,135000,50000,1,0,1,0,0.0,0,0,0,0,1
12,472916.4166666667,600000,100000,1,0,1,0,0.0,0,1,0,0,0
7,214999.75,250000,46000,1,0,1,0,0.0,0,0,0,0,1
10,529166.6666666666,450000,141000,1,0,1,0,1.0,0,1,0,0,0
17,114285.71428571429,140000,125000,1,0,1,0,0.0,0,0,0,0,1
8,350000.0,550000,25000,1,0,1,0,0.0,0,0,0,0,1
10,250000.0,240000,60000,1,0,1,0,1.0,0,0,0,0,1
9,900000.0,850000,25000,1,0,1,0,0.0,0,0,0,0,1
7,473912.54207436397,365000,78000,1,0,1,0,0.0,1,0,0,0,0
9,230000.0,260000,35000,1,0,1,0,0.0,0,0,0,0,1
10,240000.0,250000,100000,1,0,1,0,0.0,0,0,0,0,1
6,473912.54207436397,1650000,25000,0,1,0,0,0.0,0,0,0,0,1
9,473912.54207436397,585000,24000,1,1,0,0,0.0,0,0,0,0,1
5,1000000.0,1195000,5000,1,1,0,0,0.0,0,1,0,0,0
11,473912.54207436397,390000,33000,1,0,1,0,1.0,0,1,0,0,0
10,473912.54207436397,1964999,28000,0,1,0,0,0.0,0,1,0,0,0
11,1500000.0,1425000,59000,0,1,0,0,0.0,0,1,0,0,0
6,800000.0,975000,4500,0,1,0,0,0.0,0,1,0,0,0
13,2425000.0,1190000,175900,0,1,0,0,0.0,0,1,0,0,0
6,700000.0,930000,14500,1,1,0,0,0.0,0,0,0,0,1
6,454999.5,525000,15000,1,0,1,0,0.0,0,0,0,0,1
11,1750000.0,1735000,50000,0,1,0,0,0.0,0,1,0,0,0
12,473912.54207436397,1375000,33800,0,1,0,0,1.0,0,1,0,0,0
13,675000.0,450000,130400,0,1,0,0,1.0,0,1,0,0,0
8,473912.54207436397,900000,50000,0,0,1,0,0.0,0,0,0,0,1
9,796666.5555555555,1300000,80000,1,0,1,0,0.0,0,1,0,0,0
5,473912.54207436397,1400000,10000,1,0,1,0,0.0,0,0,0,0,1
14,473912.54207436397,850000,119000,0,1,0,0,0.0,0,0,0,0,1
10,295000.0,229999,60000,1,0,1,0,3.0,0,0,0,0,1
11,473912.54207436397,1550000,75800,0,1,0,0,1.0,0,1,0,0,0
15,473912.54207436397,1250000,78000,0,1,0,0,2.0,0,1,0,0,0
12,650000.0,625000,40000,1,0,1,0,0.0,0,1,0,0,0
10,702000.0,1050000,50000,1,0,1,0,0.0,0,1,0,0,0
10,515000.0,560000,74000,1,0,1,0,1.0,0,1,0,0,0
10,229999.0,290000,64000,1,0,1,0,1.0,0,0,0,0,1
12,303599.96,275000,60000,1,0,1,0,1.0,0,0,0,0,1
15,513750.0,411000,120000,1,0,1,0,1.0,0,1,0,0,0
15,186157.8947368421,150000,79000,1,0,1,0,2.0,0,0,0,0,1
5,517857.14285714284,500000,15000,1,0,1,0,0.0,0,0,0,0,1
18,125317.0487804878,100000,80000,1,0,1,0,0.0,0,0,0,0,1
7,720000.0,725000,18500,1,1,0,0,0.0,0,1,0,0,0
6,346000.0,401000,10200,1,1,0,0,0.0,0,0,0,0,1
6,315000.0,750000,29000,1,1,0,0,0.0,0,1,0,0,0
6,473912.54207436397,310000,28000,1,1,0,0,0.0,0,0,0,0,1
8,515000.0,665000,46000,1,1,0,0,0.0,0,1,0,0,0
10,473912.54207436397,465000,70000,1,1,0,0,0.0,0,1,0,0,0
12,123853.63414634146,160000,60000,1,0,1,0,1.0,0,0,0,0,1
10,634166.6666666666,675000,90000,1,1,0,0,0.0,0,1,0,0,0
11,302599.96,300000,80000,1,1,0,0,0.0,0,0,0,0,1
19,63400.0,70000,80000,1,0,1,0,0.0,0,1,0,0,0
10,251249.875,240000,73300,1,1,0,0,1.0,0,0,0,0,1
10,418333.1666666667,525000,92000,1,1,0,0,0.0,0,1,0,0,0
15,124073.14634146342,151000,66764,1,1,0,0,1.0,0,0,0,0,1
15,124341.43902439025,140000,100000,1,0,1,0,0.0,0,0,0,0,1
14,473912.54207436397,280000,350000,1,0,1,0,1.0,0,1,0,0,0
13,250000.0,350000,230000,1,0,1,0,0.0,0,1,0,0,0
7,900000.0,570000,60000,1,0,1,0,0.0,0,1,0,0,0
6,247499.875,300000,31000,1,0,1,0,0.0,0,0,0,0,1
17,215000.0,100000,39000,1,0,1,0,0.0,0,1,0,0,0
15,536000.0,500000,120000,1,0,1,0,2.0,0,1,0,0,0
10,199999.75,125000,166000,1,0,1,0,3.0,0,1,0,0,0
18,166000.0,130000,110000,1,0,1,0,2.0,0,0,0,0,1
7,782500.0,925000,35000,1,0,1,0,0.0,0,1,0,0,0
6,473912.54207436397,750000,60000,1,0,1,0,0.0,0,1,0,0,0
17,245000.0,200000,54000,0,0,1,0,1.0,0,0,0,0,1
14,203333.33333333334,248000,63000,1,0,1,0,1.0,0,0,0,0,1
10,473912.54207436397,450000,120000,1,0,1,0,1.0,0,1,0,0,0
19,172500.0,80000,120000,1,0,1,0,2.0,0,0,0,0,1
10,473912.54207436397,650000,76000,1,0,1,0,1.0,0,0,0,0,1
9,382999.8,450000,80000,1,0,1,0,0.0,0,1,0,0,0
5,473912.54207436397,650000,25000,1,0,1,0,0.0,0,1,0,0,0
8,473912.54207436397,495000,11958,1,1,0,0,0.0,0,0,0,0,1
9,294000.0,371000,20000,1,1,0,0,0.0,0,0,0,0,1
7,1200000.0,1025000,9000,1,1,0,0,0.0,0,0,0,0,1
7,473912.54207436397,8150000,6500,0,1,0,0,0.0,0,1,0,0,0
9,696066.6666666666,750000,70000,1,0,1,0,0.0,0,1,0,0,0
11,454333.3333333333,600000,120000,1,0,1,0,0.0,0,1,0,0,0
17,80000.0,80000,58000,1,1,0,0,1.0,0,0,0,0,1
11,473912.54207436397,325000,62200,1,1,0,0,0.0,0,1,0,0,0
10,1300000.0,1470000,34000,0,1,0,0,1.0,0,1,0,0,0
9,473912.54207436397,350000,53000,1,0,1,0,1.0,0,1,0,0,0
11,473912.54207436397,2800000,49000,0,1,0,0,0.0,0,1,0,0,0
7,250000.0,210000,15000,1,1,0,0,1.0,0,0,0,0,1
11,936999.0,450000,50000,1,0,1,0,0.0,0,0,0,0,1
11,473912.54207436397,1150000,53000,0,1,0,0,0.0,0,1,0,0,0
15,240000.0,210000,63500,0,1,0,0,0.0,0,0,0,0,1
6,473912.54207436397,4500000,9800,0,1,0,0,0.0,0,0,0,0,1
7,2500000.0,2750000,13000,0,0,1,0,0.0,0,1,0,0,0
6,473912.54207436397,1975000,21000,0,1,0,0,0.0,0,1,0,0,0
16,255000.0,175000,29173,1,1,0,0,0.0,0,0,0,0,1
12,1375000.0,2500000,48000,0,1,0,0,0.0,0,1,0,0,0
7,687500.0,628000,120000,1,0,1,0,0.0,0,1,0,0,0
14,473912.54207436397,600000,100000,1,0,1,0,0.0,0,1,0,0,0
7,473912.54207436397,399000,30000,1,0,1,0,0.0,0,0,0,0,1
6,517500.0,750000,87000,1,0,1,0,0.0,0,1,0,0,0
5,600000.0,750000,15000,1,0,1,0,0.0,0,0,0,0,1
7,270294.1176470588,315000,16000,1,0,1,0,0.0,0,0,0,0,1
12,473912.54207436397,600000,60000,1,0,1,0,0.0,0,1,0,0,0
14,144550.0,100000,60000,1,0,1,0,3.0,0,0,0,0,1
13,230000.0,250000,110000,1,0,1,0,2.0,0,0,0,0,1
7,268235.29411764705,350000,25000,1,0,1,0,0.0,0,0,0,0,1
8,473912.54207436397,780000,60000,1,0,1,0,0.0,0,1,0,0,0
10,494433.92452830187,434000,79350,1,0,1,0,1.0,0,1,0,0,0
8,770000.0,690000,80000,0,0,1,0,0.0,0,0,0,0,1
10,349000.0,555000,90000,1,0,1,0,1.0,0,1,0,0,0
17,100000.0,120000,90000,1,0,1,0,1.0,0,0,0,0,1
10,576899.9,500000,120000,1,0,1,0,1.0,0,1,0,0,0
11,160000.0,165000,60000,1,0,1,0,1.0,0,1,0,0,0
20,74000.0,95000,50000,1,0,1,0,0.0,0,0,0,0,1
6,568800.0,550000,20000,1,0,1,0,0.0,0,0,0,0,1
17,238181.72727272726,100000,110000,1,0,1,0,3.0,0,1,0,0,0
12,65000.0,100000,50000,1,0,1,0,1.0,0,0,0,0,1
12,473912.54207436397,500000,100000,1,0,1,0,0.0,0,1,0,0,0
8,699285.7142857143,800000,70000,1,0,1,0,1.0,0,1,0,0,0
8,937333.1666666666,840000,70000,1,0,1,0,1.0,0,1,0,0,0
8,450000.0,490000,50000,1,0,1,0,0.0,0,0,0,0,1
14,112000.0,125000,81000,1,0,1,0,1.0,0,1,0,0,0
12,473912.54207436397,400000,120000,1,0,1,0,2.0,0,1,0,0,0
9,360000.0,1000000,3600,1,1,0,0,0.0,0,1,0,0,0
9,550000.0,530000,14272,1,1,0,0,0.0,0,0,0,0,1
7,757000.0,840000,49213,1,1,0,0,0.0,0,1,0,0,0
9,328333.3333333333,229999,40000,1,0,1,0,0.0,0,0,0,0,1
12,126636.36363636363,130000,80000,1,0,1,0,0.0,0,0,0,0,1
9,244037.03703703705,200000,70000,1,0,1,0,0.0,0,0,0,0,1
13,106666.66666666667,120000,70000,1,0,1,0,0.0,0,1,0,0,0
21,66000.0,75000,57000,1,0,1,0,0.0,0,0,0,0,1
8,340000.0,250000,120000,1,0,1,0,0.0,0,1,0,0,0
19,84600.0,100000,30000,1,0,1,0,0.0,0,0,0,0,1
11,241074.07407407407,280000,3240,1,0,1,0,1.0,0,0,0,0,1
9,600000.0,540000,5000,1,0,1,0,0.0,0,0,0,0,1
6,323000.0,700000,10000,1,0,1,0,0.0,0,0,0,0,1
9,660000.0,525000,100000,1,0,1,0,0.0,0,1,0,0,0
8,443333.3333333333,430000,80000,1,0,1,0,0.0,0,1,0,0,0
22,473912.54207436397,65000,70000,1,0,1,0,0.0,0,0,0,0,1
6,743000.0,800000,35000,1,0,1,0,0.0,0,1,0,0,0
17,116249.75,75000,114000,1,0,1,0,1.0,0,0,0,0,1
16,130000.0,210000,53772,1,0,1,0,0.0,0,0,0,0,1
12,318333.3333333333,195000,140000,1,0,1,0,1.0,0,1,0,0,0
9,473912.54207436397,400000,120000,1,0,1,0,0.0,0,1,0,0,0
12,255624.875,170000,60000,1,0,1,0,0.0,0,0,0,0,1
8,275588.23529411765,225000,25000,1,0,1,0,0.0,0,0,0,0,1
10,473912.54207436397,210000,90000,1,0,1,0,0.0,0,0,0,1,0
4,125142.85714285714,240000,120000,1,0,1,0,0.0,0,0,0,0,1
9,425000.0,300000,175000,1,0,1,0,0.0,0,1,0,0,0
13,129454.54545454546,99000,100000,1,0,1,0,2.0,0,0,0,0,1
10,473912.54207436397,620000,36000,1,0,1,0,0.0,0,0,0,0,1
11,520833.3333333333,500000,30000,1,0,1,0,0.0,0,1,0,0,0
14,473912.54207436397,2550000,40000,0,0,1,0,1.0,0,0,0,0,1
11,300000.0,260000,70000,1,0,1,0,1.0,0,0,0,0,1
7,473912.54207436397,550000,60000,1,0,1,0,0.0,0,0,0,0,1
13,160625.0,150000,155500,1,0,1,0,0.0,0,1,0,0,0
13,473912.54207436397,350000,50000,0,0,1,0,1.0,0,0,0,0,1
8,171099.8,320000,40000,1,0,1,0,0.0,0,0,0,0,1
9,448814.77777777775,400000,100000,1,0,1,0,2.0,0,1,0,0,0
12,123487.78048780488,175000,80000,1,0,1,0,2.0,0,0,0,0,1
13,191099.8,120000,90000,1,0,1,0,1.0,0,0,0,0,1
11,526428.2857142857,320000,90000,1,0,1,0,1.0,0,1,0,0,0
18,93333.33333333333,70000,110000,1,0,1,0,2.0,0,0,0,0,1
5,800000.0,810000,15000,1,0,1,0,0.0,0,0,0,0,1
17,99473.68421052632,95000,100000,1,0,1,0,1.0,0,0,0,0,1
4,473912.54207436397,282000,40000,1,0,1,0,0.0,1,0,0,0,0
20,90000.0,80000,60000,1,0,1,0,1.0,0,0,0,0,1
11,65000.0,72000,25000,1,0,1,0,0.0,0,0,0,0,1
8,570000.0,600000,25000,1,0,1,0,0.0,0,0,0,0,1
9,473912.54207436397,640000,23000,1,0,1,0,0.0,0,0,0,0,1
6,288263.1052631579,380000,22155,1,0,1,0,0.0,0,0,0,0,1
6,473912.54207436397,650000,70000,1,0,1,0,0.0,0,0,0,0,1
15,113930.96551724138,150000,60000,1,0,1,0,1.0,0,0,0,0,1
15,267500.0,280000,110000,1,0,1,0,1.0,0,0,0,0,1
6,570000.0,430000,30000,1,0,1,0,0.0,0,0,0,0,1
5,670300.0,800000,15000,1,0,1,0,0.0,0,1,0,0,0
21,473912.54207436397,75000,100000,1,0,1,0,1.0,0,1,0,0,0
8,473912.54207436397,650000,70000,0,0,1,0,0.0,0,1,0,0,0
7,301250.0,390000,24000,1,0,1,0,0.0,0,0,0,0,1
19,152500.0,100000,120000,1,0,1,0,1.0,0,0,0,0,1
11,1425000.0,1500000,35000,0,0,1,0,0.0,0,1,0,0,0
